variable,mn,factor,offset
A0,MN026,1,0.00
A0,MN030,1,0.00
A0,MN034,0.231774473,-34.56
A0,MN035,0.174639718,8.69
A0,MN036,0.195180451,14.47
A0,MN038,0.211709358,-21.41
A0,MN039,0.17723204,-16.50
A0,MN040,0.249005211,-75.71
A0,MN041,0.133996546,11.31
A0,MN042,0.114647854,31.61
A0,MN043,0.176717517,-18.14
A0,MN044,0.225833251,-20.27
A0,MN045,0.16643136,2.98
A0,MN046,0.136963611,14.56
A0,MN047,0.198489097,-61.09
A0,MN048,0.191027101,11.89
A0,MN051,0.463319079,-140.88
A0,MN052,0.206236271,-40.81
A0,MN053,0.253431152,-104.43
A0,MN054,0.162149435,-0.50
A0,MN055,0.191630881,-74.18
A0,MN056,0.151899071,-19.03
A0,MN057,0.139229434,-15.52
A0,MN059,0.201450704,-60.62
A0,MN060,0.334280097,-166.31
A0,MN061,0.187699363,-53.87
A0,MN062,0.571719869,-143.05
A0,MN063,0.170989682,-8.68
A0,MN064,0.118559244,-2.52
A0,MN065,0.186460031,-91.51
A0,MN066,0.368686907,-192.37
A0,MN067,1.485373873,-825.97
A0,MN068,0.174898851,-51.25
A0,MN069,0.226183685,-57.41
A0,MN070,0.198218009,-116.92
A0,MN071,0.179716433,-6.01
A0,MN072,0.151183307,-27.73
A0,MN073,0.188815975,-42.71
A0,MN074,0.208630543,-18.49
A0,MN077,0.165619288,2.43
A0,MN078,0.178082682,-26.63
A0,MN079,0.2317822,-45.98
A0,MN080,0.09362974,4.22
A0,MN081,0.274339175,-91.27
A0,MN082,1,0.00
A0,MN083,0.161513331,12.54
A0,MN084,0.177381407,-55.02
A0,MN085,0.138985521,-16.42
A0,MN086,0.201425626,-66.46
A0,MN088,0.130321104,4.07
A0,MN089,0.284394889,-183.83
A0,MN090,0.066078837,45.65
A0,MN091,0.182864013,-107.56
A0,MN092,0.171676727,-73.55
A0,MN093,0.138819809,48.09
A0,MN094,0.115472759,35.36
A0,MN096,0.279418167,-67.82
A0,MN097,0.191900358,-13.56
A0,MN098,0.314502371,21.65
A0,MN099,0.232206013,-104.44
A0,MN100,0.141672901,-4.91
A0,MN101,0.060340708,-74.63
A0,MN103,0.231533903,66.04
A0,MN104,0.172211521,-1.93
A0,MN105,0.147590637,-8.96
A0,MN106,0.153165812,-52.63
A0,MN107,0.158846346,-37.98
A0,MN108,0.154584487,28.48
A0,MN109,0.461784791,-36.95
A0,MN111,0.157034797,-33.39
A0,MN112,0.229403447,-25.27
A0,MN113,0.186397057,16.73
A0,MN115,0.139944047,34.48
A0,MN117,0.245130454,-54.40
A0,MN118,0.202916738,-16.84
A0,MN119,0.12625291,-2.10
A0,MN120,0.248393734,-53.27
A0,MN121,0.116442426,-29.09
A0,MN122,0.142336189,-31.90
A0,MN123,0.188195895,-25.11
A0,MN124,0.278656387,-49.99
A0,MN125,0.211140259,-103.01
A0,MN126,0.156833422,-27.73
A0,MN127,0.146992473,-9.37
A0,MN128,0.219308146,-7.77
A0,MN129,0.148853013,-2.75
A0,MN130,0.135495827,-13.00
A0,MN131,0.20466813,-72.66
A0,MN132,0.13802828,13.28
A0,MN133,0.217418277,-100.12
A0,MN134,0.330305701,-9.69
A0,MN135,0.127386049,-18.68
A0,MN136,0.159925708,-61.96
A0,MN137,0.144166339,18.53
A0,MN138,1,0.00
A0,MN139,0.25502025,-79.24
A0,MN142,0.120683046,18.72
A0,MN145,0.231495147,1.79
A0,MN147,0.168373757,-71.31
A0,MN148,0.179203758,-63.33
A0,MN149,0.247930771,-8.56
A0,MN150,0.197059079,-58.51
A0,MN151,0.311359957,40.57
A0,MN152,0.158937048,-26.81
A0,MN153,0.158103829,-1.52
A0,MN154,0.10409649,28.74
A0,MN155,0.224629963,-103.48
A0,MN158,0.14804878,3.79
A0,MN159,0.17298637,-58.95
A0,MN160,0.164114081,-1.29
A0,MN161,0.133610747,14.97
A0,MN163,0.169398663,-45.66
A0,MN164,0.149124031,-3.06
A0,MN166,0.256378716,-129.78
A0,MN167,0.130519812,14.42
A0,MN168,0.077981084,33.33
A0,MN169,0.152242271,-74.28
A0,MN170,0.145695083,3.73
A0,MN171,0.903454845,-243.14
A0,MN172,0.121443355,22.21
A0,MN174,0.160617708,-24.17
A0,MN175,0.157585536,-50.18
A0,MN176,0.181502684,-15.08
A0,MN177,0.18844635,-48.95
A0,MN178,0.150331425,24.54
A0,MN179,0.17373529,24.35
A0,MN181,0.156417547,13.99
A0,MN182,0.187651892,-9.30
A0,MN183,0.153427996,4.87
A0,MN184,0.154078897,-47.57
A0,MN185,1,-1935.00
A0,MN186,0.180196409,-73.71
A0,MN187,0.19341556,-62.31
A0,MN188,0.171177385,-94.46
A0,MN189,0.147746778,-13.05
A0,MN190,0.166787928,-11.68
A0,MN191,0.169689873,21.23
A0,MN192,0.173352758,-42.69
A0,MN193,0.148313923,7.74
A0,MN194,0.169533697,-26.84
A0,MN195,0.169147895,-29.46
A0,MN196,0.13426668,9.39
A0,MN199,0.051249405,-36.72
A0,MN200,0.204613214,-47.68
A0,MN202,0.234997403,-88.51
A0,MN203,0.180160518,17.94
A0,MN204,0.126607125,37.44
A0,MN205,0.136643773,-85.67
A0,MN206,0.176889167,2.40
A0,MN207,0.170697715,-58.34
A0,MN208,0.183423198,-50.19
A0,MN209,0.176676342,-12.64
A0,MN210,0.137390847,2.85
A0,MN211,0.151900369,-95.41
A0,MN213,0.072281269,-101.22
A0,MN214,0.127450094,-14.35
A0,MN215,0.272748841,-13.60
A0,MN216,0.12941342,7.35
A0,MN217,0.228248906,-48.43
A0,MN219,-3.73268E+12,0.00
A0,MN220,0.361714285,5.06
A0,MN221,1,0.00
A0,MN223,0.273289837,-154.08
A0,MN224,0.053470512,-25.22
A0,MN225,0.116539839,-5.49
A0,MN226,0.133155833,28.63
A0,MN227,0.165428089,23.67
A0,MN228,0.153010105,6.38
