7 -0.210  000000|26-2 0.000  0 000 .0  .6  DCTim=0TotalTime=2823619-0.193  0.000  0. 0| 19260 . 000 0|CaTe282581
 -0.195 -0.239  0.000  0.000  0.000  0.000 |  -1.604 -2.714  0.000  0.000  0.000  0.000 | 0.63 | ADCTime=36000 TotalTime=282422
 -0.160 -0.223  0.000  0.000  0.000  0.000 |  -1.508 -2.661  0.000  0.000  0.000  0.000 | 0.63 | ADCTime=36000 TotalTime=282420
 -0.188 -0.157  0.000  0.000  0.000  0.000 |  -1.999 -2.696  0.000  0.000  0.000  0.000 | 0.64 | ADCTime=36000 TotalTime=282687
 -0.186 -0.208  0.000  0.000  0.000  0.000 |  -1.395 -2.672  0.000  0.000  0.000  0.000 | 0.63 | ADCTime=36000 TotalTime=282406
 -0.133 -0.268  0.000  0.000  0.000  0.000 |  -1.716 -3.143  0.000  0.000  0.000  0.000 | 0.63 | ADCTime=36000 TotalTime=282434
 -0.163 24.326  0.000  0.000  0.000  0.000 |  -1.184 124.742  0.000  0.000  0.000  0.000 | 0.65 | ADCTime=36000 TotalTime=282676
 -0.144 40.635  0.000  0.000  0.000  0.000 |  -1.735 305.513  0.000  0.000  0.000  0.000 | 0.66 | ADCTime=36000 TotalTime=282435
 -0.214 57.106  0.000  0.000  0.000  0.000 |  -1.645 485.782  0.000  0.000  0.000  0.000 | 0.68 | ADCTime=36000 TotalTime=282420
 -0.228 73.375  0.000  0.000  0.000  0.000 |  -1.732 665.803  0.000  0.000  0.000  0.000 | 0.70 | ADCTime=36000 TotalTime=282654
 -0.153 89.944  0.000  0.000  0.000  0.000 |  -1.387 845.602  0.000  0.000  0.000  0.000 | 0.73 | ADCTime=36000 TotalTime=282412
 -0.203 106.146  0.000  0.000  0.000  0.000 |  -1.517 1024.632  0.000  0.000  0.000  0.000 | 0.73 | ADCTime=36000 TotalTime=282435
 -0.212 122.192  0.000  0.000  0.000  0.000 |  -1.401 1203.276  0.000  0.000  0.000  0.000 | 0.76 | ADCTime=36000 TotalTime=282636
 -0.141 138.643  0.000  0.000  0.000  0.000 |  -1.316 1381.651  0.000  0.000  0.000  0.000 | 0.78 | ADCTime=36000 TotalTime=282430
 16.407 136.942  0.000  0.000  0.000  0.000 |  40.689 1503.131  0.000  0.000  0.000  0.000 | 0.78 | ADCTime=36000 TotalTime=282443
 33.733 136.892  0.000  0.000  0.000  0.000 |  221.228 1503.036  0.000  0.000  0.000  0.000 | 0.81 | ADCTime=36000 TotalTime=282688
 50.725 136.957  0.000  0.000  0.000  0.000 |  400.451 1503.233  0.000  0.000  0.000  0.000 | 0.81 | ADCTime=36000 TotalTime=282417
 68.226 136.878  0.000  0.000  0.000  0.000 |  581.404 1503.224  0.000  0.000  0.000  0.000 | 0.85 | ADCTime=36000 TotalTime=282438
 85.245 136.920  0.000  0.000  0.000  0.000 |  761.918 1503.342  0.000  0.000  0.000  0.000 | 0.85 | ADCTime=36000 TotalTime=282654
 102.633 136.901  0.000  0.000  0.000  0.000 |  942.171 1503.169  0.000  0.000  0.000  0.000 | 0.85 | ADCTime=36000 TotalTime=282424
 119.767 136.880  0.000  0.000  0.000  0.000 |  1122.105 1503.392  0.000  0.000  0.000  0.000 | 0.88 | ADCTime=36000 TotalTime=282439
